PacketNumber,Timestamp,Temperature,Pressure,AltitudePressure,Humidity,GPSFix,Latitude,Longitude,AltitudeGPS,SpeedKnots,Angle,ax,ay,az,gx,gy,gz,mx,my,mz,Magheading,yaw,roll,pitch,flightStage,RSSI
843,398.2,27.2,946.6,584.3,39,1,50.48249,6.18073,519.7,0.090,128,-0.3851,0.4923,9.6460,-0.0307,0.3108,0.3820,-16.0840,-12.3147,-38.3275,232,20,-8,6,1,-52
844,398.6,26.7,945.8,591.8,40,1,50.48249,6.18073,519.7,0.090,128,0.1745,1.9711,9.7469,0.3900,0.0080,-0.1104,-19.3144,-12.0512,-36.9616,230,26,-14,8,1,-51
845,399.1,27.0,946.2,588.0,39,1,50.48249,6.18073,519.7,0.090,128,1.6453,3.2508,9.4230,0.2890,0.0754,-0.2926,-15.1119,-10.7460,-38.8920,220,23,-8,1,1,-54
846,399.5,27.9,947.6,575.8,40,1,50.48249,6.18073,519.7,0.080,128,1.4477,1.9829,9.5943,-0.2086,-0.1797,0.4875,-12.6635,-15.0727,-37.5675,227,30,-16,-7,1,-56
847,400.0,30.0,950.7,548.6,41,1,50.48249,6.18073,519.7,0.080,128,1.0016,2.7899,9.2117,0.0539,0.0950,0.2487,-14.9527,-15.5252,-36.7079,227,31,-15,-5,1,-55
848,400.4,30.4,951.2,544.2,40,1,50.48249,6.18072,519.7,0.120,128,0.3390,3.7935,9.0661,-0.7569,-0.5904,0.3618,-18.9345,-18.9731,-33.0371,231,36,-21,-1,1,-54
849,400.9,31.0,952.2,535.7,39,1,50.48249,6.18072,519.7,0.120,128,1.1791,3.7295,10.0592,0.1755,-0.6610,-0.0852,-16.7828,-16.7790,-35.3686,225,29,-10,-5,1,-54
850,401.3,30.6,951.7,540.2,40,1,50.48249,6.18073,519.7,0.070,128,0.1343,2.1607,9.8620,0.2781,-0.2451,-0.1444,-14.0216,-13.6682,-39.3248,216,21,-4,-7,1,-54
851,401.8,30.7,951.8,539.0,41,1,50.48249,6.18073,519.7,0.070,128,0.0633,1.6879,9.6988,0.4079,0.3773,-0.2596,-15.1177,-13.8016,-37.6931,225,17,-7,1,1,-52
852,402.2,30.8,951.8,538.6,40,1,50.48249,6.18073,519.7,0.090,128,-0.0822,0.8300,9.7188,0.0773,0.0695,-0.0141,-13.8236,-13.7539,-37.2727,234,13,-10,3,1,-52
853,402.7,30.7,951.8,539.2,41,1,50.48249,6.18073,519.7,0.090,128,1.0099,1.2566,10.5381,-0.2215,0.2393,0.7849,-9.3522,-12.0884,-39.0415,219,23,-7,-10,1,-54
854,403.1,30.7,951.7,540.2,40,1,50.48249,6.18073,519.7,0.090,128,0.4443,1.4841,10.3784,0.1344,0.2487,-0.0595,-13.3866,-11.0921,-38.8797,219,27,-8,-4,1,-52
855,403.5,30.7,951.7,539.6,40,1,50.48249,6.18074,519.7,0.090,128,0.7898,1.3893,9.9876,-0.0678,0.1434,0.0159,-12.1104,-13.0777,-38.4321,223,27,-10,-5,1,-52
856,404.0,30.8,951.9,538.0,39,1,50.48249,6.18074,519.7,0.090,128,1.4868,2.1251,9.8514,-0.0253,-0.0558,-0.0637,-10.2942,-13.9345,-38.3718,228,28,-11,-7,1,-52
857,404.4,30.7,951.7,539.6,41,1,50.48248,6.18075,519.7,0.100,128,0.9780,2.0529,9.7481,0.0633,0.0913,0.0250,-9.9924,-14.4405,-37.3639,230,29,-13,-6,1,-51
858,404.9,30.7,951.7,539.5,39,1,50.48248,6.18075,519.7,0.100,128,1.0963,2.1192,9.9406,-0.0221,-0.0250,-0.0765,-9.2683,-16.0934,-36.5823,234,27,-13,-6,1,-52
859,405.3,30.6,951.5,541.4,40,1,50.48248,6.18076,519.7,0.060,128,1.0513,2.2697,9.6812,0.0743,0.0681,0.0031,-8.4066,-16.4706,-36.1766,235,29,-14,-6,1,-50
860,405.8,30.6,951.6,540.7,40,1,50.48248,6.18076,519.7,0.060,128,1.4477,2.1631,9.9218,0.0082,-0.0492,0.0226,-8.1986,-16.2573,-37.5781,236,32,-14,-6,1,-52
861,406.2,30.0,950.7,548.4,40,1,50.48247,6.18078,519.7,1.850,128,0.7638,2.2804,9.7317,-0.0250,-0.0464,0.0464,-8.6875,-15.8968,-36.7129,237,34,-14,-5,1,-50
862,406.7,30.3,951.0,545.7,39,1,50.48247,6.18078,519.7,1.850,128,0.6171,2.7733,9.8361,0.0251,-0.0319,0.0346,-10.3572,-17.4491,-35.3413,236,35,-16,-4,1,-49
863,407.1,30.2,950.9,546.8,40,1,50.48247,6.18078,519.7,1.850,128,0.4289,2.4913,9.4101,-0.0260,-0.1581,-0.0053,-11.6645,-16.6936,-35.1619,234,34,-15,-4,1,-50
864,407.5,26.4,945.3,596.0,41,1,50.48246,6.18079,519.7,2.320,128,0.2668,2.8029,9.7845,0.0886,0.1312,0.0923,-11.9241,-17.5021,-34.7749,236,36,-16,-3,1,-49
865,408.0,26.4,945.3,595.9,40,1,50.48246,6.18079,519.7,2.320,128,0.6869,2.7129,9.6213,0.1168,0.1148,-0.0256,-10.3137,-17.4022,-35.8429,235,37,-15,-5,1,-49
866,408.4,26.8,945.9,590.8,40,1,50.48244,6.18080,519.7,0.120,128,1.0573,2.5399,9.5580,0.0257,0.0442,-0.0247,-8.3126,-18.2003,-34.7493,238,39,-17,-6,1,-48
867,408.9,26.4,945.4,595.3,40,1,50.48244,6.18080,519.7,0.120,128,1.7435,3.0198,9.8291,0.0524,0.1462,-0.1069,-6.6808,-18.6188,-35.0469,240,42,-18,-9,1,-49
868,409.3,26.6,945.7,592.8,40,1,50.48244,6.18081,519.7,0.150,128,2.2216,3.3503,9.6037,-0.0755,-0.0476,-0.0677,-1.5630,-19.2509,-33.5524,250,40,-19,-9,1,-48
869,409.8,26.2,945.1,598.0,40,1,50.48244,6.18081,519.7,0.150,128,1.1353,2.9096,9.2199,0.0520,-0.1768,-0.0010,-5.3719,-19.1563,-34.4015,252,39,-16,-3,1,-49
870,410.2,26.9,946.1,589.1,40,1,50.48244,6.18081,519.7,0.150,128,1.0431,2.6264,9.7751,0.1570,0.1265,0.0165,-7.4221,-18.3120,-34.2861,244,41,-16,-4,1,-48
872,411.1,26.8,946.0,590.2,41,1,50.48244,6.18081,519.7,0.100,128,1.2489,2.8432,9.6260,0.0064,0.0381,0.0082,-7.0669,-19.3515,-34.4103,243,48,-17,-5,1,-52
873,411.5,26.6,945.7,593.0,40,1,50.48244,6.18082,519.7,0.100,128,1.1200,3.1833,9.6495,-0.0311,0.0585,0.0063,-6.6462,-19.1644,-34.2910,243,49,-18,-7,1,-52
874,412.0,26.9,946.0,589.5,41,1,50.48244,6.18082,519.7,0.100,128,1.6299,3.0150,9.8174,-0.0901,-0.1078,0.0443,-6.5155,-20.2112,-32.6759,246,50,-20,-6,1,-55
